,ht,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,win_ratio,top_25_reached
Kei Nishikori,178.0,2.933333333333333,2.533333333333333,70.0,42.06666666666667,30.466666666666665,13.466666666666667,10.6,4.266666666666667,6.6,1.4462347958495385,1.0
Daniil Medvedev,198.0,5.136363636363637,2.75,68.3409090909091,39.27272727272727,28.5,13.863636363636363,10.636363636363637,3.772727272727273,6.386363636363637,0.8253502043315031,1.0
Jo-Wilfried Tsonga,188.0,6.4,3.2,75.0,45.0,32.2,13.4,11.0,5.6,8.4,1.402380931965708,1.0
Jeremy Chardy,188.0,6.4,5.2,89.8,53.4,36.2,15.4,13.2,5.4,9.4,0.7571508944035648,1.0
Alex De Minaur,183.0,3.0408163265306123,3.326530612244898,78.3265306122449,46.204081632653065,31.06122448979592,16.79591836734694,11.877551020408163,4.612244897959184,7.571428571428571,1.0919902649950366,1.0
Milos Raonic,196.0,11.463414634146341,3.048780487804878,69.85365853658537,41.63414634146341,33.0,14.439024390243903,11.21951219512195,2.682926829268293,4.195121951219512,1.058179635755157,1.0
Yasutaka Uchiyama,183.0,6.36,2.92,71.74,43.54,30.4,13.2,10.6,4.76,7.56,0.36552922790971903,0.0
Grigor Dimitrov,188.0,4.5,2.7857142857142856,76.42857142857143,47.642857142857146,33.5,13.5,11.857142857142858,3.9285714285714284,6.642857142857143,1.0188957300656454,1.0
Jordan Thompson,183.0,4.22,3.14,75.18,44.82,31.0,14.74,11.56,4.46,7.46,0.47904597301103546,0.0
Andy Murray,190.0,7.75,4.25,87.3125,45.3125,34.5625,20.4375,13.75,4.5625,7.5,1.4482538885078087,1.0
Miomir Kecmanovic,183.0,3.44,1.94,68.88,40.06,27.82,14.68,10.48,4.04,6.54,0.9351186766458589,0.0
Nick Kyrgios,193.0,9.8,3.24,81.98,52.3,39.22,15.52,13.04,3.76,5.88,4.150281405818032,1.0
John Millman,183.0,2.6136363636363638,3.0454545454545454,73.9090909090909,45.27272727272727,30.113636363636363,14.613636363636363,11.568181818181818,3.8863636363636362,7.0,0.5407603748663664,0.0
Denis Kudla,180.0,3.5319148936170213,3.3191489361702127,77.0,43.234042553191486,29.4468085106383,17.340425531914892,11.680851063829786,4.48936170212766,7.553191489361702,0.9568395012921614,0.0
Roberto Bautista Agut,183.0,1.8387096774193548,2.4516129032258065,73.93548387096774,47.354838709677416,30.93548387096774,13.548387096774194,11.35483870967742,4.161290322580645,7.193548387096774,0.6561001734117364,1.0
Tomas Berdych,196.0,14.5,5.75,110.0,61.25,45.5,24.5,17.75,6.5,10.0,0.7172606575122044,1.0
Novak Djokovic,188.0,4.75,4.375,80.625,49.125,29.75,12.75,12.25,4.25,9.375,0.928307357508981,1.0
Marco Cecchinato,185.0,3.04,2.94,65.7,42.36,28.7,11.64,10.16,4.1,6.68,0.943006841308034,1.0
Nikoloz Basilashvili,185.0,2.9347826086956523,2.9782608695652173,71.21739130434783,45.67391304347826,28.782608695652176,12.565217391304348,10.673913043478262,3.9782608695652173,7.282608695652174,0.5334214350658688,1.0
Stan Wawrinka,183.0,5.428571428571429,3.5714285714285716,74.28571428571429,41.142857142857146,27.142857142857142,16.714285714285715,11.0,4.857142857142857,8.142857142857142,0.43017372163512024,1.0
Dusan Lajovic,180.0,3.0681818181818183,2.272727272727273,73.29545454545455,44.20454545454545,29.704545454545453,13.977272727272727,10.795454545454545,4.909090909090909,7.909090909090909,0.5595916401661601,1.0
Pierre Hugues Herbert,188.0,7.229166666666667,3.9166666666666665,69.5,36.5,27.4375,15.5625,10.583333333333334,4.25,6.791666666666667,0.5211340640056787,0.0
Marton Fucsovics,188.0,5.23404255319149,3.6595744680851063,67.68085106382979,38.191489361702125,28.425531914893618,14.808510638297872,10.702127659574469,3.1914893617021276,5.340425531914893,0.9186623242417845,0.0
Andrey Rublev,188.0,3.2666666666666666,2.5555555555555554,78.13333333333334,48.644444444444446,32.8,14.755555555555556,11.844444444444445,4.4,7.4,1.1126999593506874,1.0
Nicolas Jarry,198.0,6.0,3.02,66.86,40.64,29.32,14.08,10.7,3.14,5.22,0.6207617688413862,1.0
Guillermo Garcia Lopez,188.0,4.0,3.25,96.25,60.25,41.5,17.0,14.25,6.75,10.0,0.6773096336185589,1.0
Ricardas Berankis,175.0,4.125,3.5,65.5,33.625,26.0,16.875,10.625,3.625,5.75,1.0348078731711836,0.0
Guido Pella,185.0,3.3870967741935485,3.967741935483871,71.16129032258064,42.29032258064516,28.419354838709676,13.806451612903226,11.258064516129032,3.7419354838709675,7.129032258064516,0.9445100949720019,1.0
Fernando Verdasco,188.0,3.9166666666666665,3.75,81.41666666666667,56.333333333333336,35.916666666666664,13.166666666666666,12.5,3.75,7.083333333333333,0.5439550648023443,1.0
Maximilian Marterer,191.0,6.136363636363637,2.590909090909091,73.36363636363636,43.45454545454545,31.318181818181817,14.568181818181818,11.386363636363637,4.204545454545454,6.886363636363637,0.5330826492399668,0.0
Kevin Anderson,203.0,10.0,4.5,128.0,90.0,54.0,19.0,18.0,6.5,12.0,0.9594404335714585,1.0
Ivo Karlovic,208.0,13.5,2.5,68.0,43.0,30.5,10.0,10.0,4.5,8.0,0.6274634229446217,1.0
Gilles Simon,183.0,3.0,1.4444444444444444,87.55555555555556,49.22222222222222,31.22222222222222,19.444444444444443,13.555555555555555,4.0,8.444444444444445,0.6503537309693216,1.0
Steve Darcis,178.0,,,,,,,,,,0.5256837969714833,0.0
Jaume Munar,183.0,3.8,2.533333333333333,74.64444444444445,46.46666666666667,31.511111111111113,13.155555555555555,11.311111111111112,4.177777777777778,7.377777777777778,1.1344884009982206,0.0
Benoit Paire,196.0,6.878787878787879,4.454545454545454,88.39393939393939,47.96969696969697,33.54545454545455,19.424242424242426,13.151515151515152,5.181818181818182,8.484848484848484,0.8050377214875343,1.0
Malek Jaziri,185.0,2.566666666666667,2.2666666666666666,60.8,36.7,25.066666666666666,11.5,9.7,3.2,6.033333333333333,0.705705400101279,0.0
Ernests Gulbis,190.0,7.0,2.2,81.6,50.4,38.0,14.0,12.6,5.2,7.4,0.6281673034243902,1.0
Laslo Djere,188.0,4.340909090909091,4.4772727272727275,77.63636363636364,45.86363636363637,30.727272727272727,15.340909090909092,11.431818181818182,4.136363636363637,7.181818181818182,0.731646496329835,0.0
Simone Bolelli,183.0,,,,,,,,,,0.8455505152747413,0.0
Ilya Ivashka,193.0,3.5434782608695654,2.108695652173913,70.15217391304348,44.69565217391305,30.956521739130434,12.804347826086957,10.91304347826087,4.086956521739131,6.543478260869565,0.6595285795806722,0.0
Jiri Vesely,198.0,4.979166666666667,3.375,72.875,45.958333333333336,31.833333333333332,13.104166666666666,11.270833333333334,4.3125,7.0625,0.6749268208233462,0.0
Michael Mmoh,188.0,3.4166666666666665,3.7083333333333335,67.66666666666667,43.0,29.291666666666668,12.375,10.6875,3.375,6.020833333333333,0.938077418181798,0.0
Ramkumar Ramanathan,188.0,6.085106382978723,4.404255319148936,78.1063829787234,43.787234042553195,31.25531914893617,16.829787234042552,11.72340425531915,3.9574468085106385,6.638297872340425,0.5388224634664482,0.0
Evgeny Donskoy,185.0,6.352941176470588,2.764705882352941,71.47058823529412,38.1764705882353,28.529411764705884,17.470588235294116,11.176470588235293,4.235294117647059,6.294117647058823,0.8893900779892894,0.0
Tennys Sandgren,188.0,4.270833333333333,2.375,76.54166666666667,44.604166666666664,30.416666666666668,15.166666666666666,11.4375,4.583333333333333,7.854166666666667,0.4721307353724192,0.0
Cameron Norrie,188.0,3.693877551020408,2.9591836734693877,66.6734693877551,41.0,27.73469387755102,12.714285714285714,10.204081632653061,4.183673469387755,6.857142857142857,0.7082184299253194,1.0
Jan Lennard Struff,193.0,4.777777777777778,3.6,74.86666666666666,39.51111111111111,27.08888888888889,17.91111111111111,11.222222222222221,3.8666666666666667,6.911111111111111,0.6237913451532111,1.0
Philipp Kohlschreiber,178.0,4.428571428571429,2.4285714285714284,75.71428571428571,38.142857142857146,24.857142857142858,18.428571428571427,11.428571428571429,5.714285714285714,9.428571428571429,0.6910837299294053,1.0
Taylor Fritz,193.0,8.391304347826088,2.5869565217391304,73.67391304347827,41.21739130434783,31.32608695652174,17.347826086956523,11.23913043478261,3.9565217391304346,5.456521739130435,1.5770905029187723,1.0
Pablo Carreno Busta,188.0,2.82,1.8,71.82,42.72,29.56,14.2,11.14,3.84,6.78,0.5635478823222267,1.0
Leonardo Mayer,188.0,,,,,,,,,,0.5790573974836895,1.0
Fabio Fognini,178.0,2.0,3.6666666666666665,89.83333333333333,50.0,30.666666666666668,19.666666666666668,12.333333333333334,4.833333333333333,9.0,0.5957128677399006,1.0
Joao Sousa,185.0,3.2195121951219514,2.2195121951219514,71.21951219512195,43.51219512195122,29.26829268292683,13.390243902439025,11.0,4.121951219512195,7.2682926829268295,0.7352532142053836,0.0
David Ferrer,175.0,0.0,2.0,81.0,50.0,27.0,18.0,13.0,3.0,8.0,0.6507786309272195,1.0
Jose Rubin Statham,183.0,4.346153846153846,2.230769230769231,69.6923076923077,45.42307692307692,30.576923076923077,11.73076923076923,10.884615384615385,3.4615384615384617,6.3076923076923075,0.5267263248874707,0.0
